price,bedrooms,area
$2950,3br, san jose east
$3150,3br, santa clara
$5495,3br, los gatos
$2800,3br, santa clara
$3740,3br, san jose north
$3400,3br, santa clara
$3200,3br, sunnyvale
$3500,3br, milpitas
$2900,3br, san jose downtown
$3700,3br, san jose north
$3300,3br, san jose south
$3500,3br, cupertino
$3500,3br, san jose west
$3500,3br, Happy Valley neighborhood
$3500,3br, san jose west
$2600,3br, santa clara
$4250,3br, los gatos
$2950,3br, san jose north
$3221,3br, san jose north
$3221,3br, san jose east
$3500,3br, san jose south
$3450,3br, willow glen  cambrian
$3400,3br, mountain view
$3667,3br, san jose south
$3400,3br, mountain view
$3150,3br, milpitas
$2995,3br, santa clara
$2450,3br, milpitas
$3150,3br, milpitas
$2495,3br, sunnyvale
$3799,3br, san jose
$3150,3br, milpitas
$2800,3br, santa clara
$3335,3br, san jose north
$3850,3br, los gatos
$3400,3br, willow glen  cambrian
$3700,3br, campbell
$3600,3br, san jose north
$3900,3br, campbell
$4200,3br, santa clara
$3400,3br, san jose west
$2500,3br, san jose south
$3095,3br, santa clara
$3500,3br, san jose east
$2650,3br, san jose south
$3100,3br, san jose south
$1500,3br, san jose west
$2850,3br, san jose downtown
$3799,3br, san jose
$4005,3br, san jose north
$2800,3br, willow glen  cambrian
$3100,3br, san jose south
$3295,3br, willow glen  cambrian
$2395,3br, san jose south
$3000,3br, morgan hill
$3555,3br, san jose north
$3700,3br, mountain view
$3200,3br, san jose north
$3200,3br, san jose west
$3772,3br, san jose south
$3400,3br, san jose south
$5000,3br, saratoga
$2995,3br, santa clara
$2695,3br, san jose south
$3395,3br, san jose south
$3550,3br, milpitas
$3667,3br, san jose south
$3225,3br, milpitas
$3295,3br, sunnyvale
$2000,3br, willow glen  cambrian
$3495,3br, willow glen  cambrian
$2700,3br, san jose south
$2775,3br, willow glen  cambrian
$3667,3br, san jose south
$3600,3br, san jose west
$3000,3br, san jose west
$3225,3br, milpitas
$3900,3br, san jose west
$3250,3br, san jose north
$6350,3br, san jose west
$3850,3br, cupertino
$3225,3br, milpitas
$3145,3br, san jose south
$2900,3br, san jose south
$3200,3br, san jose south
$2894,3br, 401 Briar Ridge Drive  San Jose CA 95123
$3100,3br, sunnyvale
$3550,3br, santa clara
$5950,3br, los gatos
$4197,3br, san jose west
$3000,3br, santa clara
$3000,3br, santa clara
$3000,3br, santa clara
$1900,3br, morgan hill
$3000,3br, santa clara
$7500,3br, santa clara
$3200,3br, san jose
$2850,3br, san jose north
$3000,3br, santa clara
$3200,3br, san jose
$3477,3br, santa clara
$2825,3br, san jose south
$3500,3br, sunnyvale
$3500,3br, san jose west
$4000,3br, sunnyvale
$3850,3br, sunnyvale
$6500,3br, los gatos
$2500,3br, san jose south
$3950,3br, cupertino
$3000,3br, milpitas
$2990,3br, san jose east
$3000,3br, milpitas
$3799,3br, san jose
$3200,3br, santa clara
$3200,3br, san jose
$3000,3br, sunnyvale
$7330,3br, cupertino
$3150,3br, sunnyvale
$3667,3br, san jose south
$4000,3br, san jose
$3200,3br, sunnyvale
$4150,3br, santa clara
$4200,3br, san jose south
$3500,3br, san jose
$3667,3br, san jose south
$3000,3br, san jose
$3400,3br, san jose
$3095,3br, willow glen  cambrian
$3100,3br, san jose
$4500,3br, mountain view
$3000,3br, santa clara
$3000,3br, santa clara
$3150,3br, san jose south
$3995,3br, cupertino
$4669,3br, san jose south
$3695,3br, mountain view
$2695,3br, campbell
$3745,3br, san jose west
$2300,3br, gilroy
$3650,3br, san jose north
$3600,3br, cupertino
$3850,3br, sunnyvale
$3295,3br, sunnyvale
$5000,3br, los gatos
$2650,3br, san jose west
$3150,3br, milpitas
$3590,3br, san jose downtown
$4000,3br, Los Altos
$3788,3br, san jose downtown
$3500,3br, sunnyvale
$5950,3br, los gatos
$3995,3br, san jose west
$2500,3br, campbell
$4000,3br, san jose
$4100,3br, sunnyvale
$3000,3br, san jose
$4500,3br, Rose Garden
$4500,3br, los gatos
$2995,3br, san jose west
$4350,3br, cupertino
$2975,3br, gilroy
$3100,3br, San Jose
$2650,3br, gilroy
$5195,3br, cupertino
$3650,3br, sunnyvale
$2800,3br, morgan hill
$3500,3br, willow glen  cambrian
$1900,3br, morgan hill
$2200,3br, morgan hill
$2525,3br, san jose south
$4000,3br, sunnyvale
$3100,3br, san jose
$5950,3br, los gatos
$3200,3br, san jose east
$3000,3br, san jose downtown
$2500,3br, san jose south
$3000,3br, san jose
$3095,3br, willow glen  cambrian
$3150,3br, milpitas
$4200,3br, los gatos
$4995,3br, san jose west
$3225,3br, milpitas
$3300,3br, willow glen  cambrian
$3050,3br, san jose north
$2800,3br, san jose south
$4500,3br, los gatos
$3667,3br, san jose south
$4595,3br, mountain view
$3695,3br, willow glen  cambrian
$4595,3br, mountain view
$4595,3br, mountain view
$3850,3br, san jose south
$3400,3br, san jose
$3800,3br, los gatos
$3400,3br, los gatos
$6995,3br, san jose south
$1150,3br, santa clara
$3500,3br, san jose downtown
$3600,3br, san jose south
$3699,3br, willow glen  cambrian
$3895,3br, santa clara
$3195,3br, santa clara
$4500,3br, san jose west
$2950,3br, san jose south
$2800,3br, san jose south
$3683,3br, san jose south
$2995,3br, santa clara
$3350,3br, willow glen  cambrian
$3750,3br, santa clara
$2525,3br, san jose south
$3000,3br, san jose south
$3300,3br, san jose west
$3400,3br, mountain view
$3200,3br, san jose downtown
$3225,3br, milpitas
$3580,3br, san jose west
$3950,3br, san jose west
$4250,3br, mountain view
$3100,3br, san jose south
$3500,3br, campbell
$4595,3br, mountain view
$3900,3br, san jose west
$2995,3br, santa clara
$3100,3br, san jose south
$3965,3br, san jose downtown
$3500,3br, mountain view
$3500,3br, mountain view
$3100,3br, san jose south
$3400,3br, santa clara
$3445,3br, santa clara
$2695,3br, san jose south
